bench,n,A_PSO,A_GA,A_ABC,A_SMABC,Asave1_pct,Asave2_pct,Asave3_pct
br1,12,10.000,10.000,10.000,10.000,0.000,0.000,0.000
br2,12,10.000,10.000,10.000,10.000,0.000,0.000,0.000
ex1010,10,6.000,6.000,6.000,6.000,0.000,0.000,0.000
gary,15,13.000,13.000,13.000,13.000,0.000,0.000,0.000
in0,15,12.000,12.000,12.000,12.000,0.000,0.000,0.000
in2,19,45.450,35.000,35.000,35.000,22.992,0.000,0.000
misex3,14,13.000,13.000,13.000,13.000,0.000,0.000,0.000
rd84,8,14.000,14.000,14.000,14.000,0.000,0.000,0.000
t2,17,16.500,15.000,15.000,15.000,9.091,0.000,0.000
table3,14,25.000,25.000,25.000,25.000,0.000,0.000,0.000
table5,17,34.000,31.000,31.000,31.000,8.824,0.000,0.000
ts10,22,88.400,41.000,41.000,41.000,53.620,0.000,0.000
