bench,raw_ps,opt_ps,equiv_status,cec_note
br1,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/br1_raw: i/o = 12/ 1 lat = 0 and = 10 lev = 10","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/br1_opt: i/o = 12/ 1 lat = 0 and = 14 lev = 12",PASS,"Networks are equivalent. Time = 0.02 sec"
br2,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/br2_raw: i/o = 12/ 1 lat = 0 and = 10 lev = 10","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/br2_opt: i/o = 12/ 1 lat = 0 and = 13 lev = 12",PASS,"Networks are equivalent. Time = 0.01 sec"
ex1010,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/ex1010_raw: i/o = 10/ 1 lat = 0 and = 6 lev = 6","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/ex1010_opt: i/o = 10/ 1 lat = 0 and = 27 lev = 16",PASS,"Networks are equivalent. Time = 0.01 sec"
gary,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/gary_raw: i/o = 15/ 1 lat = 0 and = 13 lev = 13","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/gary_opt: i/o = 15/ 1 lat = 0 and = 17 lev = 15",PASS,"Networks are equivalent. Time = 0.01 sec"
in0,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/in0_raw: i/o = 15/ 1 lat = 0 and = 12 lev = 12","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/in0_opt: i/o = 15/ 1 lat = 0 and = 21 lev = 17",PASS,"Networks are equivalent. Time = 0.01 sec"
in2,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/in2_raw: i/o = 19/ 1 lat = 0 and = 19 lev = 19","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/in2_opt: i/o = 19/ 1 lat = 0 and = 23 lev = 20",PASS,"Networks are equivalent. Time = 0.01 sec"
misex3,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/misex3_raw: i/o = 14/ 1 lat = 0 and = 13 lev = 13","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/misex3_opt: i/o = 14/ 1 lat = 0 and = 13 lev = 13",PASS,"Networks are equivalent after structural hashing. Time = 0.00 sec"
rd84,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/rd84_raw: i/o = 8/ 1 lat = 0 and = 13 lev = 8","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/rd84_opt: i/o = 8/ 1 lat = 0 and = 32 lev = 14",PASS,"Networks are equivalent. Time = 0.01 sec"
t2,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/t2_raw: i/o = 17/ 1 lat = 0 and = 15 lev = 15","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/t2_opt: i/o = 17/ 1 lat = 0 and = 19 lev = 17",PASS,"Networks are equivalent. Time = 0.01 sec"
table3,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/table3_raw: i/o = 14/ 1 lat = 0 and = 14 lev = 14","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/table3_opt: i/o = 14/ 1 lat = 0 and = 18 lev = 15",PASS,"Networks are equivalent. Time = 0.01 sec"
table5,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/table5_raw: i/o = 17/ 1 lat = 0 and = 18 lev = 17","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/table5_opt: i/o = 17/ 1 lat = 0 and = 19 lev = 17",PASS,"Networks are equivalent. Time = 0.01 sec"
ts10,"/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/ts10_raw: i/o = 22/ 1 lat = 0 and = 22 lev = 22","/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/ts10_opt: i/o = 22/ 1 lat = 0 and = 26 lev = 23",PASS,"Networks are equivalent. Time = 0.01 sec"
