bench,raw_aig,opt_aig,equiv,cec_note
br1,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/br1_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/br1_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
br2,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/br2_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/br2_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
ex1010,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/ex1010_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/ex1010_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
gary,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/gary_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/gary_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
in0,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/in0_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/in0_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
in2,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/in2_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/in2_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
misex3,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/misex3_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/misex3_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
rd84,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/rd84_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/rd84_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
t2,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/t2_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/t2_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
table3,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/table3_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/table3_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
table5,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/table5_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/table5_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
ts10,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_raw/ts10_raw.aig,/mnt/d/My_abc_work/abc/my_work/VS-SMABC_FPRM/aig_output_opt/ts10_opt.aig,PASS,"Networks are equivalent. Time = 0.01 sec"
